GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT
0021800002,1610612760,Thunder,OKC,Oklahoma City,240:00,18.77,32,65,96,391,1,4,261,21,17,39,0.436,16,52,0.308,0.363,23,36,0.639
0021800002,1610612744,Warriors,GSW,Golden State,240:00,18.48,42,75,110,456,1,1,319,28,20,48,0.417,22,47,0.468,0.442,13,21,0.619
0021800001,1610612755,76ers,PHI,Philadelphia,240:00,18.31,23,68,91,444,1,2,320,18,16,34,0.471,18,53,0.34,0.391,14,27,0.519
0021800001,1610612738,Celtics,BOS,Boston,240:00,18.3,25,79,99,436,5,2,309,21,9,26,0.346,33,71,0.465,0.433,19,29,0.655
0021800010,1610612750,Timberwolves,MIN,Minnesota,240:00,17.88,30,59,87,362,2,4,237,20,16,40,0.4,23,51,0.451,0.429,13,26,0.5
0021800010,1610612759,Spurs,SAS,San Antonio,240:00,18.63,32,69,99,457,6,2,325,22,18,35,0.514,22,58,0.379,0.43,16,29,0.552
0021800007,1610612737,Hawks,ATL,Atlanta,240:00,19.59,24,70,90,413,0,2,277,19,21,40,0.525,20,50,0.4,0.456,20,29,0.69
0021800007,1610612752,Knicks,NYK,New York,240:00,19.79,23,59,79,438,1,0,298,21,25,41,0.61,20,58,0.345,0.455,20,31,0.645
0021800013,1610612742,Mavericks,DAL,Dallas,240:00,17.74,24,46,70,413,3,4,298,28,11,30,0.367,27,58,0.466,0.432,11,19,0.579
0021800013,1610612756,Suns,PHX,Phoenix,240:00,17.62,17,64,78,441,2,0,330,35,18,37,0.486,26,44,0.591,0.543,24,39,0.615
0021800012,1610612743,Nuggets,DEN,Denver,240:00,18.65,35,63,96,489,3,1,356,20,17,48,0.354,16,39,0.41,0.379,21,38,0.553
0021800012,1610612746,Clippers,LAC,LA,240:00,18.21,24,67,88,444,1,2,310,21,20,47,0.426,15,41,0.366,0.398,17,36,0.472
0021800006,1610612748,Heat,MIA,Miami,240:00,18.49,35,66,95,419,3,2,286,16,22,50,0.44,16,47,0.34,0.392,20,33,0.606
0021800006,1610612753,Magic,ORL,Orlando,240:00,18.75,31,63,90,415,5,4,285,20,18,44,0.409,21,50,0.42,0.415,17,33,0.515
0021800009,1610612740,Pelicans,NOP,New Orleans,240:00,17.82,32,64,95,424,4,2,291,36,27,45,0.6,25,53,0.472,0.531,18,32,0.563
