GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0020500004,1610612764,Wizards,WAS,Washington,240:00,100.4,103.1,97.2,99.0,3.3,4.2,0.683,2.15,20.5,0.26,0.673,0.476,13.19,13.5,0.506,0.518,1.0,0.197,98.68,96.5,80.42,96,0.56
0020500004,1610612761,Raptors,TOR,Toronto,240:00,97.2,99.0,100.4,103.1,-3.3,-4.2,0.6,1.31,15.7,0.327,0.74,0.524,16.194,16.5,0.449,0.496,1.0,0.199,98.68,96.5,80.42,97,0.44
0020500006,1610612740,Hornets,NOK,New Orleans/Oklahoma City,240:00,95.6,97.8,122.2,119.8,-26.6,-22.0,0.531,1.42,14.4,0.24,,,13.187,13.5,0.436,0.489,1.0,0.2,90.1,90.0,75.0,89,0.364
0020500006,1610612739,Cavaliers,CLE,Cleveland,240:00,122.2,119.8,95.6,97.8,26.6,22.0,0.595,1.38,18.3,,0.76,,17.937,17.6,0.63,0.663,1.0,0.202,90.1,90.0,75.0,91,0.636
0020500010,1610612748,Heat,MIA,Miami,240:00,99.8,102.1,79.2,82.1,20.5,20.0,0.514,1.0,15.2,0.273,0.694,0.519,19.539,20.0,0.519,0.556,1.0,0.196,97.84,95.0,79.17,95,0.667
0020500010,1610612763,Grizzlies,MEM,Memphis,240:00,79.2,82.1,99.8,102.1,-20.5,-20.0,0.552,1.0,12.5,0.306,0.727,0.481,16.254,16.8,0.365,0.404,1.0,0.197,97.84,95.0,79.17,95,0.333
0020500007,1610612752,Knicks,NYK,New York,265:00,89.7,91.7,104.9,104.6,-15.2,-12.8,0.526,0.91,14.2,0.236,0.6,0.418,19.727,20.2,0.488,0.508,1.0,0.201,99.71,98.72,82.26,109,0.342
0020500007,1610612738,Celtics,BOS,Boston,265:00,104.9,104.6,89.7,91.7,15.2,12.8,0.649,1.26,15.8,0.4,0.764,0.582,17.483,17.4,0.449,0.524,1.0,0.197,99.71,98.72,82.26,109,0.658
0020500017,1610612744,Warriors,GSW,Golden State,240:00,118.7,123.2,93.1,97.0,25.6,26.2,0.558,1.2,17.4,0.3,0.536,0.438,19.455,20.2,0.628,0.65,1.0,0.192,103.52,99.5,82.92,99,0.666
0020500017,1610612737,Hawks,ATL,Atlanta,240:00,93.1,97.0,118.7,123.2,-25.6,-26.2,0.538,0.95,14.5,0.464,0.7,0.563,21.105,22.0,0.435,0.474,1.0,0.196,103.52,99.5,82.92,100,0.334
0020500008,1610612751,Nets,NJN,New Jersey,240:00,103.9,101.1,109.8,118.3,-5.9,-17.2,0.581,1.5,14.2,0.365,0.565,0.474,12.993,12.6,0.435,0.498,1.0,0.203,96.26,94.0,78.33,95,0.445
0020500008,1610612749,Bucks,MIL,Milwaukee,240:00,109.8,118.3,103.9,101.1,5.9,17.2,0.543,1.9,13.8,0.435,0.635,0.526,9.984,10.8,0.429,0.504,1.0,0.201,96.26,94.0,78.33,93,0.555
