GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT
0022000314,1610612766,Hornets,CHA,Charlotte,265:00,20.16,27,59,85,491,3,2,357,31,14,41,0.341,29,54,0.537,0.453,16,21,0.762
0022000314,1610612748,Heat,MIA,Miami,265:00,20.15,24,60,83,434,0,5,303,28,10,20,0.5,33,71,0.465,0.473,15,35,0.429
0022000316,1610612757,Trail Blazers,POR,Portland,240:00,17.73,34,51,83,376,0,1,245,19,14,36,0.389,25,68,0.368,0.375,22,29,0.759
0022000316,1610612749,Bucks,MIL,Milwaukee,240:00,17.72,27,69,96,382,0,1,264,38,20,32,0.625,33,64,0.516,0.552,16,32,0.5
0022000312,1610612750,Timberwolves,MIN,Minnesota,240:00,17.8,39,53,90,408,3,1,288,20,21,50,0.42,19,52,0.365,0.392,18,33,0.545
0022000312,1610612739,Cavaliers,CLE,Cleveland,240:00,17.44,28,67,95,373,0,5,244,26,21,48,0.438,14,36,0.389,0.417,18,39,0.462
0022000315,1610612752,Knicks,NYK,New York,240:00,18.32,28,53,80,374,0,3,254,21,20,42,0.476,17,45,0.378,0.425,18,26,0.692
0022000315,1610612741,Bulls,CHI,Chicago,240:00,18.47,22,60,80,411,4,4,296,30,18,33,0.545,24,55,0.436,0.477,17,30,0.567
0022000317,1610612758,Kings,SAC,Sacramento,240:00,18.59,28,55,83,459,2,2,326,31,20,33,0.606,22,55,0.4,0.477,26,42,0.619
0022000317,1610612740,Pelicans,NOP,New Orleans,240:00,18.76,28,52,77,387,6,0,259,22,23,52,0.442,17,49,0.347,0.396,17,21,0.81
0022000320,1610612763,Grizzlies,MEM,Memphis,240:00,18.9,27,77,99,420,5,2,295,37,24,43,0.558,28,50,0.56,0.559,13,21,0.619
0022000320,1610612759,Spurs,SAS,San Antonio,240:00,18.56,28,49,74,416,1,2,296,28,17,38,0.447,20,51,0.392,0.416,22,34,0.647
0022000319,1610612756,Suns,PHX,Phoenix,240:00,17.57,21,46,67,393,2,3,262,19,12,23,0.522,29,60,0.483,0.467,15,23,0.652
0022000319,1610612742,Mavericks,DAL,Dallas,240:00,17.43,11,51,60,362,4,2,244,16,13,30,0.433,20,47,0.426,0.43,10,18,0.556
