GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MINUTES,PTS,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS
0021500017,1610612747,LAL,Los Angeles,203944,Julius Randle,F,,30:04,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500017,1610612747,LAL,Los Angeles,201579,Roy Hibbert,C,,28:07,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500017,1610612747,LAL,Los Angeles,203903,Jordan Clarkson,G,,29:43,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500017,1610612747,LAL,Los Angeles,1626156,D'Angelo Russell,G,,25:50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500017,1610612747,LAL,Los Angeles,101150,Lou Williams,,,27:27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500017,1610612747,LAL,Los Angeles,201156,Nick Young,,,19:04,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500017,1610612747,LAL,Los Angeles,203527,Ryan Kelly,,,20:38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500017,1610612747,LAL,Los Angeles,101138,Brandon Bass,,,17:11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500017,1610612747,LAL,Los Angeles,1626273,Marcelo Huertas,,,13:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612762,UTA,Utah,202330,Gordon Hayward,F,,35:27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612762,UTA,Utah,202324,Derrick Favors,F,,34:42,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612762,UTA,Utah,203497,Rudy Gobert,C,,37:25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612762,UTA,Utah,203918,Rodney Hood,G,,29:25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612762,UTA,Utah,203526,Raul Neto,G,,26:27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612762,UTA,Utah,203504,Trey Burke,,,15:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612762,UTA,Utah,202692,Alec Burks,,,26:26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612762,UTA,Utah,1626168,Trey Lyles,,,8:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612762,UTA,Utah,204060,Joe Ingles,,,16:23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612762,UTA,Utah,202407,Elijah Millsap,,,9:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612765,DET,Detroit,202694,Marcus Morris Sr.,F,,35:29,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612765,DET,Detroit,101141,Ersan Ilyasova,F,,21:46,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612765,DET,Detroit,203083,Andre Drummond,C,,36:07,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612765,DET,Detroit,203484,Kentavious Caldwell-Pope,G,,35:48,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612765,DET,Detroit,202704,Reggie Jackson,G,,31:15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612765,DET,Detroit,201975,Jodie Meeks,,,6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612765,DET,Detroit,2581,Steve Blake,,,16:45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
