GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0021900004,1610612765,Pistons,DET,Detroit,240:00,118.4,115.5,105.2,106.8,13.2,8.7,0.634,1.44,19.0,0.275,0.74,0.533,17.907,17.5,0.596,0.643,1.0,0.203,102.54,103.0,85.83,103,0.57
0021900009,1610612764,Wizards,WAS,Washington,240:00,93.5,96.2,102.4,103.8,-8.8,-7.7,0.703,1.53,18.1,0.259,0.818,0.5,15.9,16.3,0.457,0.495,1.0,0.198,106.22,104.0,86.67,104,0.432
0021900009,1610612742,Mavericks,DAL,Dallas,240:00,102.4,103.8,93.5,96.2,8.8,7.7,0.486,0.85,13.3,0.182,0.741,0.5,18.954,19.2,0.533,0.597,1.0,0.197,106.22,104.0,86.67,104,0.568
0021900003,1610612741,Bulls,CHI,Chicago,240:00,117.2,120.2,120.0,120.0,-2.8,0.2,0.51,2.08,16.5,0.404,0.727,0.545,11.249,11.5,0.51,0.545,1.0,0.196,105.86,104.5,87.08,104,0.494
0021900003,1610612766,Hornets,CHA,Charlotte,240:00,120.0,120.0,117.2,120.2,2.8,-0.2,0.622,1.47,19.7,0.273,0.596,0.455,18.088,18.1,0.642,0.663,1.0,0.2,105.86,104.5,87.08,105,0.506
0021900016,1610612746,Clippers,LAC,LA,240:00,127.9,133.0,110.7,113.0,17.2,20.1,0.66,1.65,22.6,0.182,0.656,0.489,18.149,18.9,0.738,0.756,1.0,0.193,110.2,107.0,89.17,106,0.594
0021900016,1610612744,Warriors,GSW,Golden State,240:00,110.7,113.0,127.9,133.0,-17.2,-20.1,0.692,2.08,17.7,0.344,0.818,0.511,11.797,12.0,0.47,0.544,1.0,0.2,110.2,107.0,89.17,108,0.406
0021900015,1610612749,Bucks,MIL,Milwaukee,240:00,104.5,107.3,99.9,101.8,4.7,5.5,0.674,2.82,20.8,0.155,0.781,0.484,9.828,10.1,0.545,0.547,1.0,0.198,111.54,109.0,90.83,109,0.547
0021900015,1610612745,Rockets,HOU,Houston,240:00,99.9,101.8,104.5,107.3,-4.7,-5.5,0.758,1.79,17.1,0.219,0.845,0.516,12.594,12.8,0.456,0.518,1.0,0.2,111.54,109.0,90.83,109,0.453
0021900014,1610612765,Pistons,DET,Detroit,240:00,100.3,104.2,116.7,119.4,-16.4,-15.2,0.571,1.43,15.5,0.255,0.727,0.474,14.045,14.6,0.471,0.528,1.0,0.199,99.96,97.0,80.83,96,0.393
0021900014,1610612737,Hawks,ATL,Atlanta,240:00,116.7,119.4,100.3,104.2,16.4,15.2,0.614,2.08,20.0,0.273,0.745,0.526,12.969,13.3,0.576,0.614,1.0,0.196,99.96,97.0,80.83,98,0.607
0021900025,1610612762,Jazz,UTA,Utah,240:00,86.7,90.5,95.4,99.0,-8.8,-8.4,0.655,0.83,15.7,0.19,0.709,0.485,23.176,24.2,0.471,0.543,1.0,0.198,99.4,95.5,79.58,95,0.448
0021900025,1610612747,Lakers,LAL,Los Angeles,240:00,95.4,99.0,86.7,90.5,8.8,8.4,0.559,1.36,14.7,0.291,0.81,0.515,14.062,14.6,0.442,0.492,1.0,0.197,99.4,95.5,79.58,96,0.552
0021900017,1610612761,Raptors,TOR,Toronto,240:00,102.4,101.9,106.6,106.7,-4.2,-4.7,0.595,0.96,16.9,0.14,0.647,0.45,22.227,22.1,0.59,0.62,1.0,0.199,104.26,104.5,87.08,104,0.463
0021900017,1610612738,Celtics,BOS,Boston,240:00,106.6,106.7,102.4,101.9,4.2,4.7,0.5,2.1,14.3,0.353,0.86,0.55,9.52,9.5,0.445,0.483,1.0,0.198,104.26,104.5,87.08,105,0.537
0021900019,1610612752,Knicks,NYK,New York,240:00,98.8,100.0,104.7,103.7,-5.9,-3.7,0.447,0.65,12.5,0.24,0.723,0.474,23.568,23.9,0.574,0.584,1.0,0.199,109.14,109.0,90.83,109,0.439
0021900019,1610612751,Nets,BKN,Brooklyn,240:00,104.7,103.7,98.8,100.0,5.9,3.7,0.568,0.81,15.0,0.277,0.76,0.526,24.083,23.9,0.577,0.608,1.0,0.202,109.14,109.0,90.83,109,0.561
0021900024,1610612758,Kings,SAC,Sacramento,240:00,108.9,105.7,115.4,117.3,-6.6,-11.6,0.459,1.0,12.8,0.255,0.81,0.505,16.524,16.0,0.511,0.566,1.0,0.198,104.28,105.0,87.5,106,0.415
0021900024,1610612757,Trail Blazers,POR,Portland,240:00,115.4,117.3,108.9,105.7,6.6,11.6,0.5,1.44,17.2,0.19,0.745,0.495,15.14,15.4,0.606,0.644,1.0,0.201,104.28,105.0,87.5,104,0.585
0021900023,1610612756,Suns,PHX,Phoenix,265:00,99.0,100.9,94.9,100.0,4.1,0.9,0.735,1.39,17.5,0.25,0.75,0.518,16.654,17.0,0.442,0.535,1.0,0.198,100.49,96.91,80.75,106,0.502
0021900023,1610612743,Nuggets,DEN,Denver,265:00,94.9,100.0,99.0,100.9,-4.1,-0.9,0.583,1.5,14.7,0.25,0.75,0.482,12.298,13.0,0.429,0.501,1.0,0.197,100.49,96.91,80.75,108,0.498
0021900018,1610612750,Timberwolves,MIN,Minnesota,240:00,111.4,114.2,93.0,93.4,18.4,20.8,0.698,1.76,19.8,0.327,0.782,0.561,15.648,16.0,0.538,0.578,1.0,0.194,107.54,106.0,88.33,106,0.653
0021900018,1610612766,Hornets,CHA,Charlotte,240:00,93.0,93.4,111.4,114.2,-18.4,-20.8,0.703,1.3,18.4,0.218,0.673,0.439,18.79,18.9,0.512,0.519,1.0,0.199,107.54,106.0,88.33,106,0.347
0021900020,1610612763,Grizzlies,MEM,Memphis,240:00,96.4,96.2,101.3,103.8,-4.9,-7.5,0.615,1.33,16.6,0.31,0.75,0.526,17.013,17.0,0.468,0.496,1.0,0.202,107.18,106.0,88.33,106,0.482
0021900020,1610612741,Bulls,CHI,Chicago,240:00,101.3,103.8,96.4,96.2,4.9,7.5,0.45,1.29,13.3,0.25,0.69,0.474,12.896,13.2,0.495,0.531,1.0,0.199,107.18,106.0,88.33,106,0.518
0021900022,1610612764,Wizards,WAS,Washington,240:00,89.5,92.4,81.2,82.5,8.3,9.9,0.538,1.4,15.3,0.259,0.827,0.527,13.838,14.3,0.459,0.478,1.0,0.199,106.54,104.0,86.67,105,0.564
0021900022,1610612760,Thunder,OKC,Oklahoma City,240:00,81.2,82.5,89.5,92.4,-8.3,-9.9,0.424,0.74,11.1,0.173,0.741,0.473,18.151,18.4,0.428,0.459,1.0,0.199,106.54,104.0,86.67,103,0.436
0021900021,1610612740,Pelicans,NOP,New Orleans,240:00,108.8,111.5,118.9,118.3,-10.1,-6.7,0.667,2.14,20.2,0.291,0.736,0.509,13.133,13.5,0.536,0.554,1.0,0.199,105.02,104.0,86.67,104,0.47
0021900021,1610612742,Mavericks,DAL,Dallas,240:00,118.9,118.3,108.8,111.5,10.1,6.7,0.511,2.09,16.6,0.264,0.709,0.491,10.634,10.6,0.559,0.589,1.0,0.201,105.02,104.0,86.67,104,0.53
0021900033,1610612764,Wizards,WAS,Washington,240:00,113.5,123.2,119.8,124.0,-6.3,-0.8,0.638,2.31,20.6,0.314,0.569,0.45,12.095,13.1,0.579,0.595,1.0,0.197,105.48,99.5,82.92,99,0.498
0021900033,1610612759,Spurs,SAS,San Antonio,240:00,119.8,124.0,113.5,123.2,6.3,0.8,0.58,3.22,18.9,0.431,0.686,0.55,8.697,9.0,0.509,0.537,1.0,0.199,105.48,99.5,82.92,100,0.502
0021900031,1610612761,Raptors,TOR,Toronto,240:00,103.9,101.9,75.7,79.2,28.3,22.6,0.711,1.13,19.2,0.227,0.761,0.557,23.095,22.6,0.555,0.601,1.0,0.197,107.46,106.0,88.33,106,0.743
0021900031,1610612741,Bulls,CHI,Chicago,240:00,75.7,79.2,103.9,101.9,-28.3,-22.6,0.621,1.2,12.8,0.239,0.773,0.443,13.514,14.2,0.345,0.389,1.0,0.2,107.46,106.0,88.33,106,0.257
0021900035,1610612756,Suns,PHX,Phoenix,240:00,120.4,123.8,114.9,117.3,5.5,6.5,0.744,2.0,21.5,0.292,0.755,0.535,14.82,15.2,0.599,0.644,1.0,0.197,107.06,104.5,87.08,105,0.568
0021900035,1610612746,Clippers,LAC,LA,240:00,114.9,117.3,120.4,123.8,-5.5,-6.5,0.5,1.67,14.7,0.245,0.708,0.465,11.304,11.5,0.523,0.586,1.0,0.198,107.06,104.5,87.08,104,0.432
0021900029,1610612752,Knicks,NYK,New York,240:00,90.5,94.1,111.6,115.7,-21.1,-21.6,0.484,0.63,11.0,0.393,0.707,0.553,22.866,23.8,0.421,0.49,1.0,0.198,105.36,101.5,84.58,101,0.363
