TEAM_ABBREVIATION_home,GAME_ID,GAME_DATE_home,WL_home,PTS_home,TEAM_ABBREVIATION_away,GAME_DATE_away,WL_away,PTS_away
HOU,0020000008,2000-10-31,L,98,MIN,2000-10-31,W,106
BKN,0020000002,2000-10-31,L,82,CLE,2000-10-31,W,86
SAS,0020000009,2000-10-31,W,98,IND,2000-10-31,L,85
DAL,0020000007,2000-10-31,W,97,MIL,2000-10-31,L,93
UTA,0020000010,2000-10-31,W,107,LAC,2000-10-31,L,94
NYK,0020000001,2000-10-31,L,72,PHI,2000-10-31,W,101
POR,0020000012,2000-10-31,L,86,LAL,2000-10-31,W,96
CHI,0020000006,2000-10-31,L,81,SAC,2000-10-31,W,100
ORL,0020000003,2000-10-31,W,97,WAS,2000-10-31,L,86
ATL,0020000004,2000-10-31,L,82,CHA,2000-10-31,W,106
TOR,0020000005,2000-10-31,L,95,DET,2000-10-31,W,104
GSW,0020000011,2000-10-31,W,96,PHX,2000-10-31,L,94
MEM,0020000013,2000-10-31,W,94,OKC,2000-10-31,L,88
LAL,0020000019,2000-11-01,L,92,UTA,2000-11-01,W,97
MIA,0020000016,2000-11-01,W,105,ORL,2000-11-01,L,79
PHI,0020000015,2000-11-01,W,104,TOR,2000-11-01,L,98
OKC,0020000020,2000-11-01,W,112,DEN,2000-11-01,L,99
CHA,0020000017,2000-11-01,L,77,WAS,2000-11-01,W,95
CLE,0020000018,2000-11-01,W,102,SAC,2000-11-01,L,100
BOS,0020000014,2000-11-01,W,103,DET,2000-11-01,L,83
SAS,0020000024,2000-11-02,W,103,MIN,2000-11-02,L,91
HOU,0020000023,2000-11-02,W,115,MIL,2000-11-02,L,93
DEN,0020000025,2000-11-02,W,101,GSW,2000-11-02,L,97
DAL,0020000022,2000-11-02,W,94,IND,2000-11-02,L,88
NYK,0020000021,2000-11-02,W,94,ATL,2000-11-02,L,69
PHX,0020000026,2000-11-02,W,108,POR,2000-11-02,L,82
LAC,0020000027,2000-11-02,L,91,MEM,2000-11-02,W,99
CHI,0020000033,2000-11-03,L,82,BKN,2000-11-03,W,92
ORL,0020000030,2000-11-03,L,80,PHI,2000-11-03,W,87
DET,0020000032,2000-11-03,L,93,SAC,2000-11-03,W,100
CHA,0020000031,2000-11-03,W,83,MIA,2000-11-03,L,79
BOS,0020000028,2000-11-03,W,93,TOR,2000-11-03,L,91
WAS,0020000029,2000-11-03,L,76,NYK,2000-11-03,W,80
IND,0020000039,2000-11-04,W,94,CHI,2000-11-04,L,81
BKN,0020000034,2000-11-04,L,87,CHA,2000-11-04,W,98
DAL,0020000042,2000-11-04,L,106,UTA,2000-11-04,W,112
DEN,0020000043,2000-11-04,L,99,PHX,2000-11-04,W,102
MIA,0020000035,2000-11-04,L,82,PHI,2000-11-04,W,84
MIN,0020000041,2000-11-04,W,99,SAC,2000-11-04,L,91
OKC,0020000046,2000-11-04,L,90,POR,2000-11-04,W,97
MIL,0020000040,2000-11-04,W,97,DET,2000-11-04,L,88
ATL,0020000036,2000-11-04,L,104,ORL,2000-11-04,W,107
TOR,0020000037,2000-11-04,W,103,WAS,2000-11-04,L,96
CLE,0020000038,2000-11-04,W,91,BOS,2000-11-04,L,89
GSW,0020000045,2000-11-04,L,105,SAS,2000-11-04,W,117
LAC,0020000044,2000-11-04,W,77,HOU,2000-11-04,L,74
MEM,0020000047,2000-11-04,L,89,LAL,2000-11-04,W,98
LAL,0020000049,2000-11-05,W,108,LAC,2000-11-05,L,103
PHX,0020000048,2000-11-05,W,104,HOU,2000-11-05,L,99
DEN,0020000051,2000-11-06,L,96,DAL,2000-11-06,W,108
UTA,0020000052,2000-11-06,W,98,MIN,2000-11-06,L,92
SAC,0020000053,2000-11-06,W,79,POR,2000-11-06,L,75
ORL,0020000050,2000-11-06,W,110,OKC,2000-11-06,L,99
MEM,0020000054,2000-11-06,W,97,ATL,2000-11-06,L,87
HOU,0020000058,2000-11-07,W,84,LAL,2000-11-07,L,74
CHI,0020000056,2000-11-07,L,83,WAS,2000-11-07,W,88
POR,0020000060,2000-11-07,W,97,ATL,2000-11-07,L,88
PHX,0020000059,2000-11-07,W,100,SAS,2000-11-07,L,81
MIL,0020000057,2000-11-07,L,89,NYK,2000-11-07,W,103
TOR,0020000055,2000-11-07,W,105,BOS,2000-11-07,L,75
IND,0020000066,2000-11-08,W,108,MIL,2000-11-08,L,97
SAS,0020000068,2000-11-08,W,91,LAL,2000-11-08,L,81
DEN,0020000069,2000-11-08,W,109,MIN,2000-11-08,L,107
DAL,0020000067,2000-11-08,L,74,MEM,2000-11-08,W,101
NYK,0020000061,2000-11-08,L,97,CLE,2000-11-08,W,99
MIA,0020000065,2000-11-08,W,87,OKC,2000-11-08,L,81
PHI,0020000062,2000-11-08,W,103,DET,2000-11-08,L,94
SAC,0020000071,2000-11-08,W,115,GSW,2000-11-08,L,84
ORL,0020000064,2000-11-08,L,90,CHA,2000-11-08,W,96
LAC,0020000070,2000-11-08,L,87,UTA,2000-11-08,W,93
WAS,0020000063,2000-11-08,L,86,BKN,2000-11-08,W,102
BKN,0020000072,2000-11-09,L,94,DET,2000-11-09,W,108
HOU,0020000076,2000-11-09,W,85,MEM,2000-11-09,L,78
CHI,0020000074,2000-11-09,W,95,ORL,2000-11-09,L,90
POR,0020000078,2000-11-09,W,107,DEN,2000-11-09,L,91
PHX,0020000077,2000-11-09,W,88,ATL,2000-11-09,L,79
MIN,0020000075,2000-11-09,L,82,PHI,2000-11-09,W,84
CHA,0020000073,2000-11-09,L,94,OKC,2000-11-09,W,102
DAL,0020000082,2000-11-10,W,79,SAS,2000-11-10,L,77
UTA,0020000083,2000-11-10,L,80,MIA,2000-11-10,W,87
TOR,0020000081,2000-11-10,W,115,CLE,2000-11-10,L,88
BOS,0020000079,2000-11-10,L,101,NYK,2000-11-10,W,103
LAC,0020000084,2000-11-10,W,115,ATL,2000-11-10,L,106
WAS,0020000080,2000-11-10,L,74,IND,2000-11-10,W,86
GSW,0020000085,2000-11-10,L,107,SAC,2000-11-10,W,114
IND,0020000090,2000-11-11,W,94,DET,2000-11-11,L,84
BKN,0020000087,2000-11-11,W,126,OKC,2000-11-11,L,91
SAS,0020000093,2000-11-11,W,91,MEM,2000-11-11,L,78
NYK,0020000086,2000-11-11,W,81,CHA,2000-11-11,L,67
PHI,0020000088,2000-11-11,W,85,BOS,2000-11-11,L,83
CHI,0020000091,2000-11-11,L,75,TOR,2000-11-11,W,98
POR,0020000095,2000-11-11,W,111,HOU,2000-11-11,L,88
PHX,0020000094,2000-11-11,W,84,MIA,2000-11-11,L,82
MIL,0020000092,2000-11-11,L,92,MIN,2000-11-11,W,103
CLE,0020000089,2000-11-11,W,86,WAS,2000-11-11,L,73
DEN,0020000097,2000-11-12,W,95,LAC,2000-11-12,L,79
LAL,0020000098,2000-11-12,W,105,HOU,2000-11-12,L,99
SAC,0020000100,2000-11-12,W,109,DAL,2000-11-12,L,84
DET,0020000096,2000-11-12,W,101,OKC,2000-11-12,L,92
GSW,0020000099,2000-11-12,L,99,ORL,2000-11-12,W,105
BKN,0020000101,2000-11-13,L,82,POR,2000-11-13,W,94
LAC,0020000102,2000-11-13,L,76,DAL,2000-11-13,W,90
HOU,0020000106,2000-11-14,W,110,CHI,2000-11-14,L,83
SAS,0020000107,2000-11-14,W,86,UTA,2000-11-14,L,79
LAL,0020000108,2000-11-14,W,119,DEN,2000-11-14,L,103
MIA,0020000103,2000-11-14,W,89,CHA,2000-11-14,L,86
SAC,0020000109,2000-11-14,W,96,ORL,2000-11-14,L,82
OKC,0020000110,2000-11-14,W,96,NYK,2000-11-14,L,75
CLE,0020000105,2000-11-14,W,96,GSW,2000-11-14,L,86
ATL,0020000104,2000-11-14,W,99,POR,2000-11-14,L,97
BKN,0020000112,2000-11-15,W,93,MIA,2000-11-15,L,91
PHI,0020000113,2000-11-15,W,107,CLE,2000-11-15,L,98
MIL,0020000115,2000-11-15,W,84,ATL,2000-11-15,L,74
PHX,0020000117,2000-11-15,W,99,DAL,2000-11-15,L,78
MIN,0020000116,2000-11-15,W,92,GSW,2000-11-15,L,90
DET,0020000114,2000-11-15,L,88,IND,2000-11-15,W,92
BOS,0020000111,2000-11-15,W,116,WAS,2000-11-15,L,109
LAC,0020000118,2000-11-15,W,78,NYK,2000-11-15,L,74
HOU,0020000121,2000-11-16,W,84,CHA,2000-11-16,L,80
DEN,0020000122,2000-11-16,W,89,CHI,2000-11-16,L,85
UTA,0020000123,2000-11-16,W,99,ORL,2000-11-16,L,84
SAC,0020000124,2000-11-16,L,110,LAL,2000-11-16,W,112
TOR,0020000120,2000-11-16,L,80,POR,2000-11-16,W,86
MEM,0020000125,2000-11-16,L,72,LAC,2000-11-16,W,76
WAS,0020000119,2000-11-16,L,95,SAS,2000-11-16,W,99
IND,0020000129,2000-11-17,L,90,GSW,2000-11-17,W,92
PHI,0020000127,2000-11-17,W,94,MIA,2000-11-17,L,73
MIL,0020000130,2000-11-17,W,89,CLE,2000-11-17,L,76
PHX,0020000132,2000-11-17,L,85,NYK,2000-11-17,W,90
OKC,0020000133,2000-11-17,L,95,DAL,2000-11-17,W,99
MIN,0020000131,2000-11-17,W,99,SAS,2000-11-17,L,94
CHA,0020000128,2000-11-17,L,89,DET,2000-11-17,W,96
BOS,0020000126,2000-11-17,W,106,ATL,2000-11-17,L,99
BKN,0020000134,2000-11-18,W,97,IND,2000-11-18,L,92
HOU,0020000139,2000-11-18,W,94,PHX,2000-11-18,L,89
DEN,0020000140,2000-11-18,W,87,LAL,2000-11-18,L,86
UTA,0020000141,2000-11-18,W,109,CHI,2000-11-18,L,64
MIA,0020000136,2000-11-18,W,86,POR,2000-11-18,L,80
ATL,0020000137,2000-11-18,L,84,MIN,2000-11-18,W,94
TOR,0020000138,2000-11-18,W,111,MIL,2000-11-18,L,102
LAC,0020000142,2000-11-18,L,83,OKC,2000-11-18,W,86
MEM,0020000143,2000-11-18,L,88,DAL,2000-11-18,W,91
WAS,0020000135,2000-11-18,W,109,BOS,2000-11-18,L,89
NYK,0020000144,2000-11-19,W,88,GSW,2000-11-19,L,71
LAL,0020000147,2000-11-19,W,104,CHI,2000-11-19,L,96
DET,0020000146,2000-11-19,L,96,CHA,2000-11-19,W,105
ORL,0020000145,2000-11-19,L,102,POR,2000-11-19,W,110
UTA,0020000150,2000-11-20,L,98,DAL,2000-11-20,W,107
TOR,0020000149,2000-11-20,L,64,CHA,2000-11-20,W,100
LAC,0020000151,2000-11-20,L,85,BKN,2000-11-20,W,86
MEM,0020000152,2000-11-20,L,92,DEN,2000-11-20,W,95
BOS,0020000148,2000-11-20,L,90,PHI,2000-11-20,W,114
IND,0020000156,2000-11-21,L,89,HOU,2000-11-21,W,101
DAL,0020000157,2000-11-21,L,110,OKC,2000-11-21,W,116
ORL,0020000154,2000-11-21,L,84,NYK,2000-11-21,W,85
CLE,0020000155,2000-11-21,W,117,DET,2000-11-21,L,98
WAS,0020000153,2000-11-21,L,94,POR,2000-11-21,W,104
GSW,0020000158,2000-11-21,W,89,CHI,2000-11-21,L,77
SAS,0020000165,2000-11-22,W,112,OKC,2000-11-22,L,85
UTA,0020000166,2000-11-22,W,116,DEN,2000-11-22,L,78
LAL,0020000168,2000-11-22,W,111,GSW,2000-11-22,L,91
MIA,0020000160,2000-11-22,L,67,CLE,2000-11-22,W,86
SAC,0020000169,2000-11-22,W,100,CHI,2000-11-22,L,71
MIN,0020000164,2000-11-22,W,101,MEM,2000-11-22,L,100
PHX,0020000167,2000-11-22,W,97,BKN,2000-11-22,L,85
MIL,0020000163,2000-11-22,L,84,POR,2000-11-22,W,93
ATL,0020000162,2000-11-22,W,78,NYK,2000-11-22,L,74
CHA,0020000161,2000-11-22,W,88,PHI,2000-11-22,L,73
BOS,0020000159,2000-11-22,W,96,HOU,2000-11-22,L,81
IND,0020000170,2000-11-23,L,91,TOR,2000-11-23,W,111
IND,0020000175,2000-11-24,W,99,WAS,2000-11-24,L,87
DEN,0020000177,2000-11-24,W,102,SAS,2000-11-24,L,92
LAL,0020000180,2000-11-24,W,115,MIN,2000-11-24,L,108
UTA,0020000178,2000-11-24,W,97,BKN,2000-11-24,L,85
MIL,0020000176,2000-11-24,L,90,CHA,2000-11-24,W,106
OKC,0020000181,2000-11-24,W,98,LAC,2000-11-24,L,81
PHX,0020000179,2000-11-24,W,80,GSW,2000-11-24,L,74
DET,0020000174,2000-11-24,W,118,MEM,2000-11-24,L,96
ATL,0020000172,2000-11-24,L,67,PHI,2000-11-24,W,76
CLE,0020000173,2000-11-24,W,85,MIA,2000-11-24,L,80
BOS,0020000171,2000-11-24,W,103,ORL,2000-11-24,L,98
SAS,0020000188,2000-11-25,W,96,PHI,2000-11-25,L,76
DAL,0020000187,2000-11-25,W,108,DEN,2000-11-25,L,84
MIA,0020000185,2000-11-25,L,80,HOU,2000-11-25,W,91
NYK,0020000182,2000-11-25,L,75,TOR,2000-11-25,W,79
SAC,0020000191,2000-11-25,W,125,OKC,2000-11-25,L,101
POR,0020000192,2000-11-25,W,86,BKN,2000-11-25,L,84
ORL,0020000184,2000-11-25,W,114,ATL,2000-11-25,L,92
CHA,0020000186,2000-11-25,W,109,CLE,2000-11-25,L,98
GSW,0020000190,2000-11-25,W,114,MIN,2000-11-25,L,93
LAC,0020000189,2000-11-25,L,89,PHX,2000-11-25,W,95
WAS,0020000183,2000-11-25,W,107,MIL,2000-11-25,L,100
DET,0020000195,2000-11-26,L,79,UTA,2000-11-26,W,94
TOR,0020000194,2000-11-26,W,101,CHI,2000-11-26,L,89
BOS,0020000193,2000-11-26,L,87,MEM,2000-11-26,W,98
NYK,0020000196,2000-11-27,W,97,MEM,2000-11-27,L,72
ORL,0020000197,2000-11-27,L,95,MIL,2000-11-27,W,104
LAC,0020000198,2000-11-27,L,83,LAL,2000-11-27,W,98
HOU,0020000205,2000-11-28,L,81,SAC,2000-11-28,W,88
BKN,0020000199,2000-11-28,L,92,UTA,2000-11-28,W,98
DAL,0020000204,2000-11-28,W,107,TOR,2000-11-28,L,93
LAL,0020000206,2000-11-28,W,124,IND,2000-11-28,L,107
MIA,0020000201,2000-11-28,L,101,MIL,2000-11-28,W,102
POR,0020000207,2000-11-28,L,93,OKC,2000-11-28,W,105
CHI,0020000203,2000-11-28,L,76,MIN,2000-11-28,W,96
CLE,0020000202,2000-11-28,L,72,BOS,2000-11-28,W,87
WAS,0020000200,2000-11-28,L,75,ATL,2000-11-28,W,102
SAS,0020000214,2000-11-29,W,82,SAC,2000-11-29,L,79
PHI,0020000209,2000-11-29,W,93,WAS,2000-11-29,L,87
NYK,0020000208,2000-11-29,L,81,MIA,2000-11-29,W,84
ORL,0020000210,2000-11-29,L,86,UTA,2000-11-29,W,88
DET,0020000212,2000-11-29,W,97,BKN,2000-11-29,L,76
MIN,0020000213,2000-11-29,L,100,DEN,2000-11-29,W,107
CHA,0020000211,2000-11-29,W,103,TOR,2000-11-29,L,79
MEM,0020000216,2000-11-29,W,109,PHX,2000-11-29,L,106
LAC,0020000215,2000-11-29,W,106,GSW,2000-11-29,L,83
DEN,0020000219,2000-11-30,L,105,HOU,2000-11-30,W,109
POR,0020000221,2000-11-30,W,95,DAL,2000-11-30,L,84
OKC,0020000222,2000-11-30,W,121,LAL,2000-11-30,L,88
MIL,0020000218,2000-11-30,W,108,BOS,2000-11-30,L,97
ATL,0020000217,2000-11-30,L,82,CHI,2000-11-30,W,91
GSW,0020000220,2000-11-30,W,99,IND,2000-11-30,L,95
LAL,0020000230,2000-12-01,W,109,SAS,2000-12-01,L,100
MIA,0020000226,2000-12-01,L,92,UTA,2000-12-01,W,94
PHI,0020000224,2000-12-01,W,95,CHA,2000-12-01,L,74
SAC,0020000231,2000-12-01,W,105,PHX,2000-12-01,L,98
CHI,0020000229,2000-12-01,L,86,NYK,2000-12-01,W,91
ORL,0020000225,2000-12-01,W,83,BKN,2000-12-01,L,80
DET,0020000228,2000-12-01,W,103,CLE,2000-12-01,L,93
TOR,0020000227,2000-12-01,W,104,LAC,2000-12-01,L,95
MEM,0020000232,2000-12-01,L,76,IND,2000-12-01,W,86
BOS,0020000223,2000-12-01,L,98,MIN,2000-12-01,W,102
BKN,0020000234,2000-12-02,L,74,ORL,2000-12-02,W,95
HOU,0020000239,2000-12-02,L,85,POR,2000-12-02,W,96
DEN,0020000240,2000-12-02,W,103,OKC,2000-12-02,L,92
NYK,0020000233,2000-12-02,W,100,MIN,2000-12-02,L,90
ATL,0020000237,2000-12-02,W,101,MIL,2000-12-02,L,94
CHA,0020000236,2000-12-02,W,94,UTA,2000-12-02,L,89
CLE,0020000238,2000-12-02,L,78,PHI,2000-12-02,W,112
GSW,0020000241,2000-12-02,L,78,DAL,2000-12-02,W,97
WAS,0020000235,2000-12-02,L,90,MIA,2000-12-02,W,93
LAL,0020000246,2000-12-03,W,99,DAL,2000-12-03,L,97
PHX,0020000245,2000-12-03,W,84,POR,2000-12-03,L,79
MIL,0020000244,2000-12-03,W,92,IND,2000-12-03,L,80
OKC,0020000247,2000-12-03,W,118,GSW,2000-12-03,L,102
DET,0020000243,2000-12-03,W,93,WAS,2000-12-03,L,87
BOS,0020000242,2000-12-03,W,96,LAC,2000-12-03,L,87
MEM,0020000248,2000-12-03,L,79,SAS,2000-12-03,W,97
DEN,0020000250,2000-12-04,W,105,PHI,2000-12-04,L,98
NYK,0020000249,2000-12-04,W,106,LAC,2000-12-04,L,78
IND,0020000254,2000-12-05,W,88,BKN,2000-12-05,L,64
HOU,0020000256,2000-12-05,W,109,DAL,2000-12-05,L,102
UTA,0020000257,2000-12-05,W,98,TOR,2000-12-05,L,84
LAL,0020000258,2000-12-05,W,96,PHI,2000-12-05,L,85
SAC,0020000259,2000-12-05,W,81,SAS,2000-12-05,L,75
ORL,0020000251,2000-12-05,W,101,BOS,2000-12-05,L,98
MIN,0020000255,2000-12-05,W,100,CHI,2000-12-05,L,90
ATL,0020000252,2000-12-05,L,92,MIA,2000-12-05,W,100
CLE,0020000253,2000-12-05,W,71,CHA,2000-12-05,L,66
MEM,0020000260,2000-12-05,W,91,DET,2000-12-05,L,83
BKN,0020000261,2000-12-06,L,87,MIL,2000-12-06,W,109
DAL,0020000266,2000-12-06,W,94,NYK,2000-12-06,L,85
MIA,0020000263,2000-12-06,W,95,DEN,2000-12-06,L,78
CHI,0020000265,2000-12-06,L,88,CLE,2000-12-06,W,92
POR,0020000268,2000-12-06,W,95,TOR,2000-12-06,L,88
OKC,0020000269,2000-12-06,L,99,DET,2000-12-06,W,112
CHA,0020000264,2000-12-06,W,91,IND,2000-12-06,L,88
WAS,0020000262,2000-12-06,L,88,LAC,2000-12-06,W,93
GSW,0020000267,2000-12-06,W,125,LAL,2000-12-06,L,122
SAS,0020000273,2000-12-07,L,83,NYK,2000-12-07,W,86
UTA,0020000274,2000-12-07,W,98,MEM,2000-12-07,L,87
MIL,0020000271,2000-12-07,L,96,PHX,2000-12-07,W,104
MIN,0020000272,2000-12-07,W,105,WAS,2000-12-07,L,88
ORL,0020000270,2000-12-07,W,103,DEN,2000-12-07,L,93
BKN,0020000276,2000-12-08,W,86,PHX,2000-12-08,L,84
DAL,0020000279,2000-12-08,W,105,CHI,2000-12-08,L,86
LAL,0020000280,2000-12-08,L,95,OKC,2000-12-08,W,103
MIA,0020000277,2000-12-08,W,80,ATL,2000-12-08,L,76
SAC,0020000282,2000-12-08,W,111,HOU,2000-12-08,L,98
POR,0020000283,2000-12-08,L,94,PHI,2000-12-08,W,107
CHA,0020000278,2000-12-08,W,92,LAC,2000-12-08,L,87
BOS,0020000275,2000-12-08,L,91,IND,2000-12-08,W,104
GSW,0020000281,2000-12-08,L,92,TOR,2000-12-08,W,108
IND,0020000286,2000-12-09,W,99,CHA,2000-12-09,L,96
SAS,0020000289,2000-12-09,W,105,CHI,2000-12-09,L,81
UTA,0020000290,2000-12-09,W,125,GSW,2000-12-09,L,114
NYK,0020000284,2000-12-09,W,96,DEN,2000-12-09,L,88
POR,0020000291,2000-12-09,W,114,DET,2000-12-09,L,83
MIL,0020000287,2000-12-09,W,99,WAS,2000-12-09,L,91
OKC,0020000292,2000-12-09,L,104,HOU,2000-12-09,W,111
MIN,0020000288,2000-12-09,W,85,LAC,2000-12-09,L,73
CLE,0020000285,2000-12-09,W,97,ATL,2000-12-09,L,90
MEM,0020000293,2000-12-09,L,79,PHI,2000-12-09,W,83
BKN,0020000295,2000-12-10,L,73,DAL,2000-12-10,W,99
LAL,0020000297,2000-12-10,W,112,DET,2000-12-10,L,88
SAC,0020000298,2000-12-10,W,101,MIA,2000-12-10,L,97
TOR,0020000296,2000-12-10,L,87,PHX,2000-12-10,W,95
BOS,0020000294,2000-12-10,W,104,DEN,2000-12-10,L,102
UTA,0020000301,2000-12-11,L,83,SAS,2000-12-11,W,91
PHI,0020000299,2000-12-11,L,91,MIN,2000-12-11,W,96
CHI,0020000300,2000-12-11,L,80,PHX,2000-12-11,W,86
LAC,0020000302,2000-12-11,W,92,ORL,2000-12-11,L,80
MEM,0020000303,2000-12-11,L,75,HOU,2000-12-11,W,82
BKN,0020000304,2000-12-12,W,116,MIN,2000-12-12,L,94
DEN,0020000308,2000-12-12,L,85,MIA,2000-12-12,W,96
LAL,0020000309,2000-12-12,L,105,MIL,2000-12-12,W,109
OKC,0020000311,2000-12-12,W,97,ORL,2000-12-12,L,92
CLE,0020000307,2000-12-12,W,92,DAL,2000-12-12,L,87
TOR,0020000306,2000-12-12,W,104,IND,2000-12-12,L,90
ATL,0020000305,2000-12-12,W,107,SAC,2000-12-12,L,99
GSW,0020000310,2000-12-12,L,93,POR,2000-12-12,W,101
IND,0020000316,2000-12-13,W,97,DAL,2000-12-13,L,92
UTA,0020000317,2000-12-13,L,102,MIL,2000-12-13,W,111
POR,0020000320,2000-12-13,W,96,LAL,2000-12-13,L,86
PHX,0020000318,2000-12-13,W,103,SAS,2000-12-13,L,93
DET,0020000315,2000-12-13,W,92,ATL,2000-12-13,L,69
CHA,0020000314,2000-12-13,W,101,SAC,2000-12-13,L,90
BOS,0020000312,2000-12-13,L,86,CHI,2000-12-13,W,104
MEM,0020000321,2000-12-13,L,93,OKC,2000-12-13,W,94
LAC,0020000319,2000-12-13,L,88,MIA,2000-12-13,W,94
WAS,0020000313,2000-12-13,L,82,PHI,2000-12-13,W,102
SAS,0020000323,2000-12-14,L,96,DEN,2000-12-14,W,102
TOR,0020000322,2000-12-14,W,70,NYK,2000-12-14,L,68
GSW,0020000324,2000-12-14,L,95,HOU,2000-12-14,W,98
IND,0020000330,2000-12-15,L,95,CLE,2000-12-15,W,103
LAL,0020000334,2000-12-15,W,98,MEM,2000-12-15,L,76
PHI,0020000327,2000-12-15,L,94,DAL,2000-12-15,W,112
NYK,0020000326,2000-12-15,L,58,UTA,2000-12-15,W,89
CHI,0020000331,2000-12-15,L,74,ATL,2000-12-15,W,85
POR,0020000335,2000-12-15,W,106,ORL,2000-12-15,L,96
MIL,0020000332,2000-12-15,W,104,TOR,2000-12-15,L,97
OKC,0020000336,2000-12-15,W,99,MIA,2000-12-15,L,81
PHX,0020000333,2000-12-15,L,88,LAC,2000-12-15,W,98
DET,0020000329,2000-12-15,L,90,MIN,2000-12-15,W,99
BOS,0020000325,2000-12-15,L,81,SAC,2000-12-15,W,104
WAS,0020000328,2000-12-15,L,89,CHA,2000-12-15,W,103
HOU,0020000342,2000-12-16,L,100,DEN,2000-12-16,W,102
SAS,0020000343,2000-12-16,W,90,PHX,2000-12-16,L,82
CHI,0020000340,2000-12-16,L,91,PHI,2000-12-16,W,99
MIN,0020000341,2000-12-16,W,113,IND,2000-12-16,L,110
CHA,0020000337,2000-12-16,W,99,BOS,2000-12-16,L,87
ATL,0020000338,2000-12-16,L,83,BKN,2000-12-16,W,89
CLE,0020000339,2000-12-16,W,99,UTA,2000-12-16,L,92
GSW,0020000344,2000-12-16,L,85,MIA,2000-12-16,W,93
BKN,0020000346,2000-12-17,L,79,SAC,2000-12-17,W,95
NYK,0020000345,2000-12-17,W,100,MIL,2000-12-17,L,97
DET,0020000348,2000-12-17,L,90,DAL,2000-12-17,W,99
TOR,0020000347,2000-12-17,L,101,LAL,2000-12-17,W,104
MEM,0020000350,2000-12-17,L,91,ORL,2000-12-17,W,101
LAC,0020000349,2000-12-17,L,94,WAS,2000-12-17,W,103
BOS,0020000351,2000-12-18,L,98,DAL,2000-12-18,W,106
HOU,0020000356,2000-12-19,L,79,SAS,2000-12-19,W,86
MIA,0020000352,2000-12-19,L,79,LAL,2000-12-19,W,81
CHI,0020000355,2000-12-19,L,85,IND,2000-12-19,W,90
SAC,0020000359,2000-12-19,W,106,WAS,2000-12-19,L,72
PHX,0020000357,2000-12-19,L,84,DET,2000-12-19,W,89
ATL,0020000353,2000-12-19,W,87,NYK,2000-12-19,L,77
TOR,0020000354,2000-12-19,W,103,UTA,2000-12-19,L,95
GSW,0020000358,2000-12-19,W,120,MIN,2000-12-19,L,99
IND,0020000363,2000-12-20,L,98,TOR,2000-12-20,W,99
SAS,0020000365,2000-12-20,W,94,CLE,2000-12-20,L,77
DEN,0020000366,2000-12-20,W,108,DET,2000-12-20,L,106
DAL,0020000364,2000-12-20,W,106,POR,2000-12-20,L,101
PHI,0020000361,2000-12-20,L,89,UTA,2000-12-20,W,91
OKC,0020000368,2000-12-20,W,89,SAC,2000-12-20,L,85
CHA,0020000362,2000-12-20,W,65,MIA,2000-12-20,L,56
LAC,0020000367,2000-12-20,W,103,MIN,2000-12-20,L,96
BOS,0020000360,2000-12-20,W,99,BKN,2000-12-20,L,86
MEM,0020000369,2000-12-20,W,118,WAS,2000-12-20,L,104
HOU,0020000373,2000-12-21,L,94,LAL,2000-12-21,W,99
NYK,0020000370,2000-12-21,L,86,BOS,2000-12-21,W,92
MIL,0020000372,2000-12-21,W,80,BKN,2000-12-21,L,78
ORL,0020000371,2000-12-21,W,99,CHI,2000-12-21,L,88
IND,0020000377,2000-12-22,L,101,UTA,2000-12-22,W,109
SAS,0020000380,2000-12-22,W,105,GSW,2000-12-22,L,87
DEN,0020000381,2000-12-22,W,116,POR,2000-12-22,L,96
DAL,0020000379,2000-12-22,L,103,LAL,2000-12-22,W,108
MIA,0020000375,2000-12-22,W,103,CLE,2000-12-22,L,95
PHI,0020000374,2000-12-22,L,71,NYK,2000-12-22,W,91
OKC,0020000382,2000-12-22,W,107,WAS,2000-12-22,L,87
MIN,0020000378,2000-12-22,L,74,CHA,2000-12-22,W,83
TOR,0020000376,2000-12-22,L,72,ATL,2000-12-22,W,78
MEM,0020000383,2000-12-22,L,93,SAC,2000-12-22,W,95
HOU,0020000391,2000-12-23,L,87,GSW,2000-12-23,W,95
BKN,0020000384,2000-12-23,L,80,MIA,2000-12-23,W,86
POR,0020000395,2000-12-23,W,87,WAS,2000-12-23,L,70
SAC,0020000394,2000-12-23,W,97,OKC,2000-12-23,L,92
PHX,0020000392,2000-12-23,W,102,DEN,2000-12-23,L,93
MIN,0020000390,2000-12-23,L,92,UTA,2000-12-23,W,98
MIL,0020000389,2000-12-23,W,104,BOS,2000-12-23,L,99
ATL,0020000387,2000-12-23,W,91,IND,2000-12-23,L,87
ORL,0020000385,2000-12-23,W,111,CLE,2000-12-23,L,92
DET,0020000388,2000-12-23,W,106,CHI,2000-12-23,L,93
CHA,0020000386,2000-12-23,W,88,SAS,2000-12-23,L,84
LAC,0020000393,2000-12-23,W,92,MEM,2000-12-23,L,90
IND,0020000396,2000-12-25,W,103,ORL,2000-12-25,L,93
LAL,0020000397,2000-12-25,L,104,POR,2000-12-25,W,109
BKN,0020000398,2000-12-26,L,76,ATL,2000-12-26,W,81
SAS,0020000404,2000-12-26,W,103,HOU,2000-12-26,L,95
DEN,0020000405,2000-12-26,W,109,LAC,2000-12-26,L,108
